"mission","launch_date","window_start_utc","spot_date","day_type","wspr_20m_spots","mean_snr","snr_std","unique_tx","unique_rx","sfi","ssn","kp"
"NROL-113","2024-09-06",3,"2024-09-03","control",148653,-16.02,8.43,742,543,242.1,171,1.37
"NROL-113","2024-09-06",3,"2024-09-04","control",197263,-15.48,8.56,762,567,261.8,169,2.21
"NROL-113","2024-09-06",3,"2024-09-05","control",212180,-15.63,8.32,799,575,240.7,170,1.04
"NROL-113","2024-09-06",3,"2024-09-06","launch",215256,-15.73,8.3,828,569,248.9,177,1.42
"NROL-113","2024-09-06",3,"2024-09-07","control",218731,-15.54,8.19,770,576,221.7,168,1.75
"NROL-113","2024-09-06",3,"2024-09-08","control",222203,-15.57,8.24,770,570,227.6,156,1.79
"NROL-113","2024-09-06",3,"2024-09-09","control",192240,-15.49,8.14,760,549,214.8,152,2
"NROL-167","2024-10-24",17,"2024-10-21","control",280086,-13.77,9.19,883,646,163.9,162,1.21
"NROL-167","2024-10-24",17,"2024-10-22","control",310401,-13.69,9.09,924,665,176.1,117,1.96
"NROL-167","2024-10-24",17,"2024-10-23","control",294079,-13.34,9.27,932,653,185.7,120,1.96
"NROL-167","2024-10-24",17,"2024-10-24","launch",260033,-14.59,8.95,915,650,196.6,135,2.25
"NROL-167","2024-10-24",17,"2024-10-25","control",300397,-14.03,8.89,1014,652,209.3,180,0.42
"NROL-167","2024-10-24",17,"2024-10-26","control",277048,-13.28,9.3,931,662,238.4,217,2.04
"NROL-167","2024-10-24",17,"2024-10-27","control",307819,-13.05,9.39,901,673,246.2,241,2.25
"NROL-57","2025-03-21",6,"2025-03-18","control",248444,-13.97,9.01,837,649,184,196,2.54
"NROL-57","2025-03-21",6,"2025-03-19","control",123867,-15.74,8.67,763,633,179.5,165,3.37
"NROL-57","2025-03-21",6,"2025-03-20","control",146120,-15.93,8.71,847,617,170.2,163,1.33
"NROL-57","2025-03-21",6,"2025-03-21","launch",249796,-14.2,8.99,947,640,165.3,151,3.33
"NROL-57","2025-03-21",6,"2025-03-22","control",123757,-15.94,8.7,872,658,177.9,173,4.04
"NROL-57","2025-03-21",6,"2025-03-23","control",169918,-14.44,9.34,869,654,168.1,126,2.08
"NROL-57","2025-03-21",6,"2025-03-24","control",249104,-14.45,8.81,907,655,156,78,3.21
"NROL-87","2022-02-02",20,"2022-01-30","control",84507,-15.38,9.7,552,448,129.6,83,2.38
"NROL-87","2022-02-02",20,"2022-01-31","control",98699,-15,9.68,574,462,129.5,75,2.17
"NROL-87","2022-02-02",20,"2022-02-01","control",97596,-15.55,9.49,553,473,128.6,77,1.29
"NROL-87","2022-02-02",20,"2022-02-02","launch",123982,-15.42,9.45,608,492,128.2,72,2
"NROL-87","2022-02-02",20,"2022-02-03","control",85398,-16.37,8.94,492,413,126.5,80,3.67
"NROL-87","2022-02-02",20,"2022-02-04","control",100168,-14.19,9.83,486,447,129.6,100,4.21
"NROL-87","2022-02-02",20,"2022-02-05","control",112760,-15.02,9.45,548,468,125.9,91,2.5
"SARah-1","2022-06-18",14,"2022-06-15","control",123819,-17.25,8.17,645,524,140,148,2.96
"SARah-1","2022-06-18",14,"2022-06-16","control",175240,-15.95,8.69,663,533,146.7,150,2.37
"SARah-1","2022-06-18",14,"2022-06-17","control",161739,-16.64,8.35,642,543,148.9,152,2.71
"SARah-1","2022-06-18",14,"2022-06-18","launch",169063,-16.63,8.5,684,556,140.2,147,2.46
"SARah-1","2022-06-18",14,"2022-06-19","control",158039,-16.78,8.18,662,539,143.6,118,2.17
